description,data_type,task-<label>,acq-<label>,ce-<label>,rec-<label>,dir<label>,run-<index>,suffix,bids_name,BIDS_suffix
DTI_MB2_monopolar_PA_2mm_NOANG_TRACEW,dwi,,,,,,,dwi,dwi,dwi
gre_field_mapping,fmap,,,,,,,fieldmap,fieldmap,"magnitude1, magnitude2, phase"
t1_tse_tra_MDC,anat,,,GD,,,,T1w,ce-GD_T1w,ce-GD_T1w
DTI_MB2_monopolar_INV_PE-RO_2mm_NOANG,dwi,,,,,PA,2,dwi,dir-PA_run-02_dwi,dir-PA_run-2_dwi
T2_FLAIR_3D_SAG,anat,,,,,,,FLAIR,FLAIR,FLAIR
DTI_MB2_monopolar_AP_2mm_NOANG,dwi,,,,,AP,1,dwi,dir-AP_run-01_dwi,dir-AP_run-1_dwi
T1w_MPR_SAG,anat,,,,,,,T1w,T1w,T1w
DTI_MB2_monopolar_PA_2mm_NOANG,dwi,,,,,PA,1,dwi,dir-PA_run-01_dwi,dir-PA_run-1_dwi
dp+t2_tse_MDC,anat,,,,,,,PDT2,PDT2,PDT2
DTI_MB2_monopolar_2mm,dwi,,,,,,,dwi,dwi,dwi
bas_BOLD_TRA_RESTING,func,rest,,,,,,BOLD,task-rest_bold,task-rest
dp+t2_tse,anat,,,,,,,PDT2,PDT2,PDT2
DTI_MB2_monopolar_2mm_FA,dwi,,,,,,,dwi,dwi,
DTI_MB2_monopolar_INV_PE-RO_2mm,dwi,,,,,PA,2,dwi,dir-PA_run-02_dwi,dir-PA_run-2_dwi
T2_FLAIR_3D_SAG_,anat,,,,,,,FLAIR,FLAIR,FLAIR
DTI_MB2_monopolar_AP_2mm,dwi,,,,,AP,1,dwi,dir-AP_run-01_dwi,dir-AP_run-1_dwi
DTI_MB2_monopolar_PA_2mm,dwi,,,,,PA,1,dwi,dir-PA_run-01_dwi,dir-PA_run-1_dwi
DTI_MB2_monopolar_2mm,dwi,,,,,,,dwi,dwi,dwi
act_BOLD_TRA_RESTING,func,rest,,,,,,BOLD,task-rest_bold,task-rest
DTI 30 HR,dwi,,,,,,,dwi,dwi,dwi
dp+t2_tse_,anat,,,,,,,PDT2,PDT2,PDT2
t1_tse__tra_mdc,anat,,,GD,,,,T1w,ce-GD_T1w,ce-GD_T1w
t2_tirm_tra MDC,anat,,,,,,,FLAIR,FLAIR,FLAIR
T1_3D SAG,anat,,,,,,,T1w,T1w,T1w
t1_tse_tra_,anat,,,,,,,T1w,T1w,
DTI_MB2_monopolar_2mm_NOANG,dwi,,,,,,,dwi,dwi,dwi
dp+t2_tse_tra,anat,,,,,,,PDT2,PDT2,PDT2
t2_tirm_tra_dark-fluid,anat,,,,,,,FLAIR,FLAIR,FLAIR
t2_fl2d_tra_Gradient Eco,anat,,,,,,,FLAIR,FLAIR,FLAIR
bas_BOLD_TRA_MOTORIO,func,motor,,,,,,BOLD,task-motor_bold,task-motor
act_BOLD_TRA_RESPIRO,func,breathhold,,,,,,BOLD,task-breathhold_bold,task-breathhold
dp+t2_tse_tra maurizio,anat,,,,,,,PDT2,PDT2,PDT2
DTI 30 HR(non angolarla),dwi,,,,,,,dwi,dwi,dwi
t2_FLAIR SAG 3D_MDC,anat,,,,,,,FLAIR,FLAIR,FLAIR
t1_tse_tra M.D.C.4 mm,anat,,,GD,,,,T1w,ce-GD_T1w,ce-GD_T1w
dp+t2_tse_tra 4 mm,anat,,,,,,,PDT2,PDT2,PDT2
t1_tse_tra M.D.C. maurizio,anat,,,GD,,,,T1w,ce-GD_T1w,ce-GD_T1w
ACT_BOLD_RESTING140,func,rest,,,,,,BOLD,task-rest_bold,task-rest
t2_tse_tra,anat,,,,,,,T2w,T2w,T2w
t1_tse_tra_mdc,anat,,,GD,,,,T1w,ce-GD_T1w,ce-GD_T1w
dp+t2_tse mdc,anat,,,,,,,PDT2,PDT2,PDT2
t1_tse_tra M.D.C.,anat,,,GD,,,,T1w,ce-GD_T1w,ce-GD_T1w
t2_flair,anat,,,,,,,FLAIR,FLAIR,FLAIR
t2_FLAIR SAG 3D,anat,,,,,,,FLAIR,FLAIR,FLAIR
T1,anat,,,,,,,T1w,T1w,
T2,anat,,,,,,,T2w,T2w,T2w
t2_flair maurizio,anat,,,,,,,FLAIR,FLAIR,FLAIR
dp+t2_tse_mdc,anat,,,,,,,PDT2,PDT2,PDT2
act_BOLD_stroop_207,func,stroop,,,,,,BOLD,task-stroop_bold,task-stroop
act_BOLD_resting140,func,rest,,,,,,BOLD,task-rest_bold,task-rest
